ConfigurationId;EvolutionOperation(delete-merge-extract);GuidanceIdFromPaper;PreservesBehavior
1;delete;D0;true
2;delete;D0;true
3;delete;D0;true
4;delete;D0;true
5;delete;D0;true
6;delete;D0;true
7;delete;D0;true
8;delete;D0;true
9;delete;D0;true
10;delete;D0;true
11;delete;D0;true
12;delete;D0;true
13;delete;D0;true
14;delete;D0;true
15;delete;D0;true
16;delete;D0;true
17;delete;D0;true
18;delete;D0;true
19;delete;D0;true
20;delete;D0;true
21;delete;D0;true
22;delete;D0;true
23;delete;D0;true
24;delete;D0;true
25;delete;D0;true
26;delete;D0;true
27;delete;D0;true
28;delete;D0;true
29;delete;D0;true
30;delete;D0;true
31;delete;D0;true
32;delete;D0;true
33;delete;D0;true
34;delete;D0;true
35;delete;D0;true
36;delete;D0;true
37;delete;D0;true
38;delete;D0;true
39;delete;D0;true
40;delete;D0;true
41;delete;D0;true
42;delete;D0;true
43;delete;D0;true
44;delete;D0;true
45;delete;D0;true
46;delete;D0;true
47;delete;D0;true
48;delete;D0;true
49;delete;D0;true
50;delete;D0;true
51;delete;D0;true
52;delete;D0;true
53;delete;D0;true
54;delete;D0;true
55;delete;D0;true
56;delete;D0;true
57;delete;D0;true
58;delete;D0;true
59;delete;D0;true
60;delete;D0;true
61;delete;D0;true
62;delete;D0;true
63;delete;D0;true
64;delete;D0;true
65;delete;D0;true
66;delete;D0;true
67;delete;D0;true
68;delete;D0;true
69;delete;D0;true
70;delete;D0;true
71;delete;D0;true
72;delete;D0;true
73;delete;D0;true
74;delete;D0;true
75;delete;D0;true
76;delete;D0;true
77;delete;D0;true
78;delete;D0;true
79;delete;D0;true
80;delete;D0;true
81;delete;D0;true
82;delete;D0;true
83;delete;D0;true
84;delete;D0;true
85;delete;D0;true
86;delete;D0;true
87;delete;D0;true
88;delete;D0;true
89;delete;D0;true
90;delete;D0;true
91;delete;D0;true
92;delete;D0;true
93;delete;D0;true
94;delete;D0;true
95;delete;D0;true
96;delete;D0;true
97;delete;D0;true
98;delete;D0;true
99;delete;D0;true
100;delete;D0;true
101;delete;D0;true
102;delete;D0;true
103;delete;D0;true
104;delete;D0;true
105;delete;D0;true
106;delete;D0;true
107;delete;D0;true
108;delete;D0;true
109;delete;D0;true
110;delete;D0;true
111;delete;D0;true
112;delete;D0;true
113;delete;D0;true
114;delete;D0;true
115;delete;D0;true
116;delete;D0;true
117;delete;D0;true
118;delete;D0;true
119;delete;D0;true
120;delete;D0;true
121;delete;D0;true
122;delete;D0;true
123;delete;D0;true
124;delete;D0;true
125;delete;D0;true
126;delete;D0;true
127;delete;D0;true
128;delete;D0;true
129;delete;D0;true
130;delete;D0;true
131;delete;D0;true
132;delete;D0;true
133;delete;D0;true
134;delete;D0;true
135;delete;D0;true
136;delete;D0;true
137;delete;D0;true
138;delete;D0;true
139;delete;D0;true
140;delete;D0;true
141;delete;D0;true
142;delete;D0;true
143;delete;D0;true
144;delete;D0;true
145;delete;D0;true
146;delete;D0;true
147;delete;D0;true
148;delete;D0;true
149;delete;D0;true
150;delete;D0;true
151;delete;D0;true
152;delete;D0;true
153;delete;D0;true
154;delete;D0;true
155;delete;D0;true
156;delete;D0;true
157;delete;D0;true
158;delete;D0;true
159;delete;D0;true
160;delete;D0;true
161;delete;D0;true
162;delete;D0;true
163;delete;D0;true
164;delete;D0;true
165;delete;D0;true
166;delete;D0;true
167;delete;D0;true
168;delete;D0;true
169;delete;D0;true
170;delete;D0;true
171;delete;D0;true
172;delete;D0;true
173;delete;D0;true
174;delete;D0;true
175;delete;D0;true
176;delete;D0;true
177;delete;D0;true
178;delete;D0;true
179;delete;D0;true
180;delete;D0;true
181;delete;D0;true
182;delete;D0;true
183;delete;D0;true
184;delete;D0;true
185;delete;D0;true
186;delete;D0;true
187;delete;D0;true
188;delete;D0;true
189;delete;D0;true
190;delete;D0;true
191;delete;D0;true
192;delete;D0;true
193;delete;D0;true
194;delete;D0;true
195;delete;D0;true
196;delete;D0;true
197;delete;D0;true
198;delete;D0;true
199;delete;D0;true
200;delete;D0;true
201;delete;D0;true
202;delete;D0;true
203;delete;D0;true
204;delete;D0;true
205;delete;D0;true
206;delete;D0;true
207;delete;D0;true
208;delete;D0;true
209;delete;D0;true
210;delete;D0;true
211;delete;D0;true
212;delete;D0;true
213;delete;D0;true
214;delete;D0;true
215;delete;D0;true
216;delete;D0;true
217;delete;D0;true
218;delete;D0;true
219;delete;D0;true
220;delete;D0;true
221;delete;D0;true
222;delete;D0;true
223;delete;D0;true
224;delete;D0;true
225;delete;D0;true
226;delete;D0;true
227;delete;D0;true
228;delete;D0;true
229;delete;D0;true
230;delete;D0;true
231;delete;D0;true
232;delete;D0;true
233;delete;D0;true
234;delete;D0;true
235;delete;D0;true
236;delete;D0;true
237;delete;D0;true
238;delete;D0;true
239;delete;D0;true
240;delete;D0;true
241;delete;D0;true
242;delete;D0;true
243;delete;D0;true
244;delete;D0;true
245;delete;D0;true
246;delete;D0;true
247;delete;D0;true
248;delete;D0;true
249;delete;D0;true
250;delete;D0;true
251;delete;D0;true
252;delete;D0;true
253;delete;D0;true
254;delete;D0;true
255;delete;D0;true
256;delete;D0;true
257;delete;D0;true
258;delete;D0;true
259;delete;D0;true
260;delete;D0;true
261;delete;D0;true
262;delete;D0;true
263;delete;D0;true
264;delete;D0;true
265;delete;D0;true
266;delete;D0;true
267;delete;D0;true
268;delete;D0;true
269;delete;D0;true
270;delete;D0;true
271;delete;D0;true
272;delete;D0;true
273;delete;D0;true
274;delete;D0;true
275;delete;D0;true
276;delete;D0;true
277;delete;D0;true
278;delete;D0;true
279;delete;D0;true
280;delete;D0;true
281;delete;D0;true
282;delete;D0;true
283;delete;D0;true
284;delete;D0;true
285;delete;D0;true
286;delete;D0;true
287;delete;D0;true
288;delete;D0;true
289;delete;D0;true
290;delete;D0;true
291;delete;D0;true
292;delete;D0;true
293;delete;D0;true
294;delete;D0;true
295;delete;D0;true
296;delete;D0;true
297;delete;D0;true
298;delete;D0;true
299;delete;D0;true
300;delete;D0;true
301;delete;D0;true
302;delete;D0;true
303;delete;D0;true
304;delete;D0;true
305;delete;D0;true
306;delete;D0;true
307;delete;D0;true
308;delete;D0;true
309;delete;D0;true
310;delete;D0;true
311;delete;D0;true
312;delete;D0;true
313;delete;D0;true
314;delete;D0;true
315;delete;D0;true
316;delete;D0;true
317;delete;D0;true
318;delete;D0;true
319;delete;D0;true
320;delete;D0;true
321;delete;D0;true
322;delete;D0;true
323;delete;D0;true
324;delete;D0;true
325;delete;D0;true
326;delete;D0;true
327;delete;D0;true
328;delete;D0;true
329;delete;D0;true
330;delete;D0;true
331;delete;D0;true
332;delete;D0;true
333;delete;D0;true
334;delete;D0;true
335;delete;D0;true
336;delete;D0;true
337;delete;D0;true
338;delete;D0;true
339;delete;D0;true
340;delete;D0;true
341;delete;D0;true
342;delete;D0;true
343;delete;D0;true
344;delete;D0;true
345;delete;D0;true
346;delete;D0;true
347;delete;D0;true
348;delete;D0;true
349;delete;D0;true
350;delete;D0;true
351;delete;D0;true
352;delete;D0;true
353;delete;D0;true
354;delete;D0;true
355;delete;D0;true
356;delete;D0;true
357;delete;D0;true
358;delete;D0;true
359;delete;D0;true
360;delete;D0;true
361;delete;D0;true
362;delete;D0;true
363;delete;D0;true
364;delete;D0;true
365;delete;D0;true
366;delete;D0;true
367;delete;D0;true
368;delete;D0;true
369;delete;D0;true
